t,robot_id,x,y,battery,workload,state
9.000,r00,0.198228,0.567970,0.378169,0,EXPLORE
9.000,r01,0.597108,0.566626,0.624384,0,EXPLORE
9.000,r02,0.987802,0.438860,0.747717,0,EXPLORE
9.000,r03,1.479532,0.303270,0.501051,0,EXPLORE
9.000,r04,1.734531,0.217571,0.994384,0,EXPLORE
9.000,r05,0.987113,0.372948,0.253406,0,EXPLORE
9.000,r06,1.295731,0.339101,0.870073,0,EXPLORE
9.500,r00,0.198228,0.567970,0.378129,0,EXPLORE
9.500,r01,0.597108,0.566626,0.624344,0,EXPLORE
9.500,r02,0.990821,0.478746,0.747301,0,EXPLORE
9.500,r03,1.508882,0.330446,0.500635,0,EXPLORE
9.500,r04,1.701602,0.240280,0.993968,0,EXPLORE
9.500,r05,0.948680,0.384035,0.252990,0,EXPLORE
9.500,r06,1.258277,0.353146,0.869657,0,EXPLORE
10.000,r00,0.222223,0.568450,0.377863,0,EXPLORE
10.000,r01,0.597108,0.566626,0.624304,0,EXPLORE
10.000,r02,0.993841,0.518632,0.746885,0,EXPLORE
10.000,r03,1.538232,0.357623,0.500219,0,EXPLORE
10.000,r04,1.668674,0.262990,0.993552,0,EXPLORE
10.000,r05,0.910247,0.395121,0.252574,0,EXPLORE
10.000,r06,1.220824,0.367191,0.869241,0,EXPLORE
10.500,r00,0.262215,0.569249,0.377447,0,EXPLORE
10.500,r01,0.586298,0.578422,0.624114,0,EXPLORE
10.500,r02,0.996860,0.558518,0.746469,0,EXPLORE
10.500,r03,1.567583,0.384799,0.499803,0,EXPLORE
10.500,r04,1.635745,0.285699,0.993136,0,EXPLORE
10.500,r05,0.871814,0.406208,0.252158,0,EXPLORE
10.500,r06,1.183371,0.381236,0.868825,0,EXPLORE
11.000,r00,0.302207,0.570049,0.377031,0,EXPLORE
11.000,r01,0.559275,0.607914,0.623698,0,EXPLORE
11.000,r02,0.997464,0.566495,0.746354,0,EXPLORE
11.000,r03,1.596933,0.411975,0.499387,0,EXPLORE
11.000,r04,1.602817,0.308408,0.992720,0,EXPLORE
11.000,r05,0.833381,0.417294,0.251742,0,EXPLORE
11.000,r06,1.145918,0.395281,0.868409,0,EXPLORE
11.500,r00,0.342199,0.570849,0.376615,0,EXPLORE
11.500,r01,0.532252,0.637405,0.623282,0,EXPLORE
11.500,r02,0.997464,0.566495,0.746314,0,EXPLORE
11.500,r03,1.626284,0.439152,0.498971,0,EXPLORE
11.500,r04,1.569888,0.331117,0.992304,0,EXPLORE
11.500,r05,0.794948,0.428380,0.251326,0,EXPLORE
11.500,r06,1.108465,0.409326,0.867993,0,EXPLORE
12.000,r00,0.382191,0.571648,0.376199,0,EXPLORE
12.000,r01,0.505228,0.666896,0.622866,0,EXPLORE
12.000,r02,0.997464,0.566495,0.746274,1,NAVIGATE
12.000,r03,1.655634,0.466328,0.498555,0,EXPLORE
12.000,r04,1.536959,0.353826,0.991888,0,EXPLORE
12.000,r05,0.756515,0.439467,0.250910,0,EXPLORE
12.000,r06,1.108465,0.409326,0.867953,1,NAVIGATE
12.500,r00,0.422183,0.572448,0.375783,0,EXPLORE
12.500,r01,0.478205,0.696388,0.622450,0,EXPLORE
12.500,r02,0.997464,0.566495,0.746234,1,NAVIGATE
12.500,r03,1.684985,0.493504,0.498139,0,EXPLORE
12.500,r04,1.504031,0.376536,0.991472,0,EXPLORE
12.500,r05,0.718082,0.450553,0.250494,0,EXPLORE
12.500,r06,1.108465,0.409326,0.867913,1,NAVIGATE
13.000,r00,0.462175,0.573248,0.375367,0,EXPLORE
13.000,r01,0.451181,0.725879,0.622034,0,EXPLORE
13.000,r02,1.008040,0.578501,0.746044,1,NAVIGATE
13.000,r03,1.714335,0.520681,0.497723,0,EXPLORE
13.000,r04,1.471102,0.399245,0.991056,0,EXPLORE
13.000,r05,0.679649,0.461640,0.250078,0,EXPLORE
13.000,r06,1.111777,0.424979,0.867723,1,NAVIGATE
13.500,r00,0.502167,0.574048,0.374951,0,EXPLORE
13.500,r01,0.424158,0.755370,0.621618,0,EXPLORE
13.500,r02,1.034481,0.608515,0.745628,1,NAVIGATE
13.500,r03,1.743685,0.547857,0.497307,0,EXPLORE
13.500,r04,1.438174,0.421954,0.990640,0,EXPLORE
13.500,r05,0.641216,0.472726,0.249662,0,EXPLORE
13.500,r06,1.120056,0.464113,0.867307,1,NAVIGATE
14.000,r00,0.542159,0.574847,0.374535,0,EXPLORE
14.000,r01,0.397135,0.784861,0.621202,0,EXPLORE
14.000,r02,1.060923,0.638530,0.745212,1,NAVIGATE
14.000,r03,1.773036,0.575033,0.496891,0,EXPLORE
14.000,r04,1.405245,0.444663,0.990224,0,EXPLORE
14.000,r05,0.602783,0.483813,0.249246,0,EXPLORE
14.000,r06,1.128336,0.503247,0.866891,1,NAVIGATE
14.500,r00,0.582151,0.575647,0.374119,0,EXPLORE
14.500,r01,0.370111,0.814353,0.620786,0,EXPLORE
14.500,r02,1.087364,0.668544,0.744796,1,NAVIGATE
14.500,r03,1.778906,0.580468,0.496775,0,EXPLORE
14.500,r04,1.372316,0.467372,0.989808,0,EXPLORE
14.500,r05,0.564350,0.494899,0.248830,0,EXPLORE
14.500,r06,1.136615,0.542380,0.866475,1,NAVIGATE
15.000,r00,0.622143,0.576447,0.373703,0,EXPLORE
15.000,r01,0.343088,0.843844,0.620370,0,EXPLORE
15.000,r02,1.113805,0.698559,0.744380,1,NAVIGATE
15.000,r03,1.778906,0.580468,0.496735,0,EXPLORE
15.000,r04,1.339388,0.490082,0.989392,0,EXPLORE
15.000,r05,0.525917,0.505985,0.248414,0,EXPLORE
15.000,r06,1.144895,0.581514,0.866059,1,NAVIGATE
15.500,r00,0.662135,0.577246,0.373287,0,EXPLORE
15.500,r01,0.316065,0.873335,0.619954,0,EXPLORE
15.500,r02,1.140246,0.728573,0.743964,1,NAVIGATE
15.500,r03,1.771805,0.584154,0.496620,0,EXPLORE
15.500,r04,1.306459,0.512791,0.988976,0,EXPLORE
15.500,r05,0.487484,0.517072,0.247998,0,EXPLORE
15.500,r06,1.153174,0.620648,0.865643,1,NAVIGATE
16.000,r00,0.702127,0.578046,0.372871,0,EXPLORE
16.000,r01,0.289041,0.902827,0.619538,0,EXPLORE
16.000,r02,1.166687,0.758587,0.743548,1,NAVIGATE
16.000,r03,1.736303,0.602582,0.496204,0,EXPLORE
16.000,r04,1.273531,0.535500,0.988560,0,EXPLORE
16.000,r05,0.449052,0.528158,0.247582,0,EXPLORE
16.000,r06,1.161454,0.659782,0.865227,1,NAVIGATE
16.500,r00,0.742119,0.578846,0.372455,0,EXPLORE
16.500,r01,0.262018,0.932318,0.619122,0,EXPLORE
16.500,r02,1.166687,0.758587,0.743508,1,WAIT_PEERS
16.500,r03,1.700801,0.621009,0.495788,0,EXPLORE
16.500,r04,1.240602,0.558209,0.988144,0,EXPLORE
16.500,r05,0.410619,0.539245,0.247166,0,EXPLORE
16.500,r06,1.169734,0.698915,0.864811,1,NAVIGATE
17.000,r00,0.742119,0.578846,0.372415,1,NAVIGATE
17.000,r01,0.234995,0.961809,0.618706,0,EXPLORE
17.000,r02,1.166687,0.758587,0.743468,1,WAIT_PEERS
17.000,r03,1.665298,0.639437,0.495372,0,EXPLORE
17.000,r04,1.207673,0.580918,0.987728,0,EXPLORE
17.000,r05,0.372186,0.550331,0.246750,0,EXPLORE
17.000,r06,1.178013,0.738049,0.864395,1,NAVIGATE
17.500,r00,0.742119,0.578846,0.372375,1,NAVIGATE
17.500,r01,0.218781,0.979504,0.618440,0,EXPLORE
17.500,r02,1.166687,0.758587,0.743428,1,EXECUTE
17.500,r03,1.629796,0.657864,0.494956,0,EXPLORE
17.500,r04,1.174745,0.603628,0.987312,0,EXPLORE
17.500,r05,0.333753,0.561417,0.246334,0,EXPLORE
17.500,r06,1.181325,0.753703,0.864204,1,EXECUTE
18.000,r00,0.750239,0.565059,0.372185,1,NAVIGATE
18.000,r01,0.218781,0.979504,0.618400,0,EXPLORE
18.000,r02,1.166687,0.758587,0.743388,1,EXECUTE
18.000,r03,1.594293,0.676292,0.494540,0,EXPLORE
18.000,r04,1.141816,0.626337,0.986896,0,EXPLORE
18.000,r05,0.295320,0.572504,0.245918,0,EXPLORE
18.000,r06,1.181325,0.753703,0.864164,1,EXECUTE
18.500,r00,0.770539,0.530593,0.371769,1,NAVIGATE
18.500,r01,0.218781,0.979504,0.618360,0,EXPLORE
18.500,r02,1.166687,0.758587,0.743348,1,EXECUTE
18.500,r03,1.558791,0.694719,0.494124,0,EXPLORE
18.500,r04,1.108888,0.649046,0.986480,0,EXPLORE
18.500,r05,0.256887,0.583590,0.245502,0,EXPLORE
18.500,r06,1.181325,0.753703,0.864124,1,EXECUTE
19.000,r00,0.790839,0.496128,0.371353,1,NAVIGATE
19.000,r01,0.250778,0.979919,0.618019,0,EXPLORE
19.000,r02,1.166687,0.758587,0.743308,1,EXECUTE
19.000,r03,1.523288,0.713147,0.493708,0,EXPLORE
19.000,r04,1.075959,0.671755,0.986064,0,EXPLORE
19.000,r05,0.226140,0.592459,0.245162,0,EXPLORE
19.000,r06,1.181325,0.753703,0.864084,1,EXECUTE
19.500,r00,0.794899,0.489234,0.371237,1,EXECUTE
19.500,r01,0.290775,0.980437,0.617603,0,EXPLORE
19.500,r02,1.166687,0.758587,0.743268,1,EXECUTE
19.500,r03,1.487786,0.731575,0.493292,0,EXPLORE
19.500,r04,1.043030,0.694464,0.985648,0,EXPLORE
19.500,r05,0.226140,0.592459,0.245122,0,EXPLORE
19.500,r06,1.181325,0.753703,0.864044,1,EXECUTE
20.000,r00,0.794899,0.489234,0.371197,1,EXECUTE
20.000,r01,0.330771,0.980956,0.617187,0,EXPLORE
20.000,r02,1.166687,0.758587,0.743228,1,EXECUTE
20.000,r03,1.452283,0.750002,0.492876,0,EXPLORE
20.000,r04,1.010102,0.717173,0.985232,0,EXPLORE
20.000,r05,0.226140,0.592459,0.245082,0,EXPLORE
20.000,r06,1.181325,0.753703,0.864004,1,EXECUTE
20.500,r00,0.794899,0.489234,0.371157,1,EXECUTE
20.500,r01,0.370768,0.981474,0.616771,0,EXPLORE
20.500,r02,1.166687,0.758587,0.743188,1,EXECUTE
20.500,r03,1.416781,0.768430,0.492460,0,EXPLORE
20.500,r04,0.977173,0.739883,0.984816,0,EXPLORE
20.500,r05,0.245913,0.606062,0.244816,0,EXPLORE
20.500,r06,1.181325,0.753703,0.863964,1,EXECUTE
21.000,r00,0.794899,0.489234,0.371117,1,EXECUTE
21.000,r01,0.410764,0.981993,0.616355,0,EXPLORE
21.000,r02,1.166687,0.758587,0.743148,1,EXECUTE
21.000,r03,1.381278,0.786857,0.492044,0,EXPLORE
21.000,r04,0.944245,0.762592,0.984400,0,EXPLORE
21.000,r05,0.278868,0.628733,0.244400,0,EXPLORE
21.000,r06,1.181325,0.753703,0.863924,1,EXECUTE
21.500,r00,0.794899,0.489234,0.371077,1,EXECUTE
21.500,r01,0.450761,0.982511,0.615939,0,EXPLORE
21.500,r02,1.166687,0.758587,0.743108,1,EXECUTE
21.500,r03,1.381278,0.786857,0.492004,0,NAVIGATE
21.500,r04,0.911316,0.785301,0.983984,0,EXPLORE
21.500,r05,0.278868,0.628733,0.244360,0,NAVIGATE
21.500,r06,1.181325,0.753703,0.863884,1,EXECUTE
22.000,r00,0.794899,0.489234,0.371037,1,EXECUTE
22.000,r01,0.490758,0.983030,0.615523,0,EXPLORE
22.000,r02,1.166687,0.758587,0.743068,1,EXECUTE
22.000,r03,1.381278,0.786857,0.491964,0,NAVIGATE
22.000,r04,0.878387,0.808010,0.983568,0,EXPLORE
22.000,r05,0.278868,0.628733,0.244320,0,NAVIGATE
22.000,r06,1.181325,0.753703,0.863844,1,EXECUTE
22.500,r00,0.794899,0.489234,0.370997,1,EXECUTE
22.500,r01,0.530754,0.983548,0.615107,0,EXPLORE
22.500,r02,1.166687,0.758587,0.743028,1,EXECUTE
22.500,r03,1.395537,0.794115,0.491774,0,NAVIGATE
22.500,r04,0.845459,0.830719,0.983152,0,EXPLORE
22.500,r05,0.285019,0.643504,0.244130,0,NAVIGATE
22.500,r06,1.181325,0.753703,0.863804,1,EXECUTE
23.000,r00,0.794899,0.489234,0.370957,1,EXECUTE
23.000,r01,0.530754,0.983548,0.615067,1,NAVIGATE
23.000,r02,1.166687,0.758587,0.742988,1,EXECUTE
23.000,r03,1.431185,0.812261,0.491358,0,NAVIGATE
23.000,r04,0.845459,0.830719,0.983112,1,NAVIGATE
23.000,r05,0.285019,0.643504,0.244090,1,NAVIGATE
23.000,r06,1.181325,0.753703,0.863764,1,EXECUTE
23.500,r00,0.794899,0.489234,0.370917,1,EXECUTE
23.500,r01,0.530754,0.983548,0.615027,1,NAVIGATE
23.500,r02,1.166687,0.758587,0.742948,1,EXECUTE
23.500,r03,1.466832,0.830407,0.490942,0,NAVIGATE
23.500,r04,0.845459,0.830719,0.983072,1,NAVIGATE
23.500,r05,0.285019,0.643504,0.244050,1,NAVIGATE
23.500,r06,1.181325,0.753703,0.863724,1,EXECUTE
24.000,r00,0.794899,0.489234,0.370877,1,EXECUTE
24.000,r01,0.530754,0.983548,0.614987,1,NAVIGATE
24.000,r02,1.166687,0.758587,0.742908,1,EXECUTE
24.000,r03,1.502479,0.848552,0.490526,0,NAVIGATE
24.000,r04,0.831262,0.823340,0.982882,1,NAVIGATE
24.000,r05,0.279372,0.628533,0.243859,1,NAVIGATE
24.000,r06,1.181325,0.753703,0.863684,1,EXECUTE
24.500,r00,0.794899,0.489234,0.370837,1,EXECUTE
24.500,r01,0.545957,0.988536,0.614797,1,NAVIGATE
24.500,r02,1.166687,0.758587,0.742868,1,EXECUTE
24.500,r03,1.538127,0.866698,0.490110,0,NAVIGATE
24.500,r04,0.795771,0.804891,0.982466,1,NAVIGATE
24.500,r05,0.265254,0.591107,0.243443,1,NAVIGATE
24.500,r06,1.181325,0.753703,0.863644,1,EXECUTE
25.000,r00,0.794899,0.489234,0.370797,1,EXECUTE
25.000,r01,0.583963,1.001006,0.614381,1,NAVIGATE
25.000,r02,1.166687,0.758587,0.742828,1,EXECUTE
25.000,r03,1.573774,0.884844,0.489694,0,NAVIGATE
25.000,r04,0.760280,0.786442,0.982050,1,NAVIGATE
25.000,r05,0.251137,0.553682,0.243027,1,NAVIGATE
25.000,r06,1.181325,0.753703,0.863604,1,EXECUTE
25.500,r00,0.794899,0.489234,0.370757,1,EXECUTE
25.500,r01,0.621970,1.013477,0.613965,1,NAVIGATE
25.500,r02,1.166687,0.758587,0.742788,1,EXECUTE
25.500,r03,1.609422,0.902989,0.489278,0,NAVIGATE
25.500,r04,0.724788,0.767993,0.981634,1,NAVIGATE
25.500,r05,0.248313,0.546196,0.242912,1,WAIT_PEERS
25.500,r06,1.181325,0.753703,0.863564,1,EXECUTE
26.000,r00,0.794899,0.489234,0.370717,1,EXECUTE
26.000,r01,0.659976,1.025947,0.613549,1,NAVIGATE
26.000,r02,1.166687,0.758587,0.742748,1,EXECUTE
26.000,r03,1.645069,0.921135,0.488862,0,NAVIGATE
26.000,r04,0.689297,0.749544,0.981218,1,NAVIGATE
26.000,r05,0.248313,0.546196,0.242872,1,WAIT_PEERS
26.000,r06,1.181325,0.753703,0.863524,1,EXECUTE
26.500,r00,0.794899,0.489234,0.370677,1,EXECUTE
26.500,r01,0.659976,1.025947,0.613509,2,NAVIGATE
26.500,r02,1.166687,0.758587,0.742708,1,EXECUTE
26.500,r03,1.645069,0.921135,0.488822,1,NAVIGATE
26.500,r04,0.653806,0.731095,0.980802,2,NAVIGATE
26.500,r05,0.248313,0.546196,0.242832,1,WAIT_PEERS
26.500,r06,1.181325,0.753703,0.863484,1,EXECUTE
27.000,r00,0.794899,0.489234,0.370637,1,EXECUTE
27.000,r01,0.659976,1.025947,0.613469,2,NAVIGATE
27.000,r02,1.166687,0.758587,0.742668,1,EXECUTE
27.000,r03,1.645069,0.921135,0.488782,1,NAVIGATE
27.000,r04,0.618314,0.712646,0.980386,2,NAVIGATE
27.000,r05,0.248313,0.546196,0.242792,1,WAIT_PEERS
27.000,r06,1.181325,0.753703,0.863444,1,EXECUTE
27.500,r00,0.794899,0.489234,0.370597,1,EXECUTE
27.500,r01,0.649773,1.013622,0.613278,2,NAVIGATE
27.500,r02,1.166687,0.758587,0.742628,1,EXECUTE
27.500,r03,1.630080,0.926734,0.488591,1,NAVIGATE
27.500,r04,0.582823,0.694197,0.979970,2,NAVIGATE
27.500,r05,0.248313,0.546196,0.242752,1,WAIT_PEERS
27.500,r06,1.181325,0.753703,0.863404,1,EXECUTE
28.000,r00,0.794899,0.489234,0.370557,2,EXECUTE
28.000,r01,0.624266,0.982810,0.612862,2,NAVIGATE
28.000,r02,1.166687,0.758587,0.742588,2,EXECUTE
28.000,r03,1.592609,0.940730,0.488175,1,NAVIGATE
28.000,r04,0.547332,0.675748,0.979554,2,NAVIGATE
28.000,r05,0.248313,0.546196,0.242712,3,WAIT_PEERS
28.000,r06,1.181325,0.753703,0.863364,1,EXECUTE
28.500,r00,0.794899,0.489234,0.370517,2,EXECUTE
28.500,r01,0.598759,0.951998,0.612446,2,NAVIGATE
28.500,r02,1.166687,0.758587,0.742548,2,EXECUTE
28.500,r03,1.555138,0.954727,0.487759,1,NAVIGATE
28.500,r04,0.511840,0.657299,0.979138,2,NAVIGATE
28.500,r05,0.248313,0.546196,0.242672,3,WAIT_PEERS
28.500,r06,1.181325,0.753703,0.863324,1,EXECUTE
29.000,r00,0.794899,0.489234,0.370477,2,EXECUTE
29.000,r01,0.573252,0.921186,0.612030,2,NAVIGATE
29.000,r02,1.166687,0.758587,0.742508,2,EXECUTE
29.000,r03,1.517667,0.968723,0.487343,1,NAVIGATE
29.000,r04,0.476349,0.638850,0.978722,2,NAVIGATE
29.000,r05,0.248313,0.546196,0.242632,3,WAIT_PEERS
29.000,r06,1.181325,0.753703,0.863284,1,EXECUTE
29.500,r00,0.794899,0.489234,0.370437,2,EXECUTE
29.500,r01,0.547744,0.890374,0.611614,2,NAVIGATE
29.500,r02,1.166687,0.758587,0.742468,2,EXECUTE
29.500,r03,1.480195,0.982720,0.486927,1,NAVIGATE
29.500,r04,0.440858,0.620401,0.978306,2,NAVIGATE
29.500,r05,0.248313,0.546196,0.242592,3,WAIT_PEERS
29.500,r06,1.181325,0.753703,0.863244,1,EXECUTE
30.000,r00,0.794899,0.489234,0.370397,2,EXECUTE
30.000,r01,0.522237,0.859562,0.611198,2,NAVIGATE
30.000,r02,1.166687,0.758587,0.742428,2,EXECUTE
30.000,r03,1.442724,0.996716,0.486511,1,NAVIGATE
30.000,r04,0.405366,0.601952,0.977890,2,NAVIGATE
30.000,r05,0.248313,0.546196,0.242552,3,WAIT_PEERS
30.000,r06,1.181325,0.753703,0.863204,1,EXECUTE
30.500,r00,0.794899,0.489234,0.370357,2,EXECUTE
30.500,r01,0.496730,0.828750,0.610782,2,NAVIGATE
30.500,r02,1.166687,0.758587,0.742388,2,EXECUTE
30.500,r03,1.405253,1.010713,0.486095,1,NAVIGATE
30.500,r04,0.369875,0.583503,0.977474,2,NAVIGATE
30.500,r05,0.248313,0.546196,0.242512,3,WAIT_PEERS
30.500,r06,1.181325,0.753703,0.863164,1,EXECUTE
31.000,r00,0.794899,0.489234,0.370317,2,EXECUTE
31.000,r01,0.471223,0.797938,0.610366,2,NAVIGATE
31.000,r02,1.166687,0.758587,0.742348,2,EXECUTE
31.000,r03,1.367781,1.024709,0.485679,1,NAVIGATE
31.000,r04,0.334384,0.565054,0.977058,2,NAVIGATE
31.000,r05,0.248313,0.546196,0.242472,3,WAIT_PEERS
31.000,r06,1.181325,0.753703,0.863124,1,EXECUTE
31.500,r00,0.794899,0.489234,0.370277,2,EXECUTE
31.500,r01,0.445715,0.767126,0.609950,2,NAVIGATE
31.500,r02,1.166687,0.758587,0.742308,2,EXECUTE
31.500,r03,1.330310,1.038706,0.485263,1,NAVIGATE
31.500,r04,0.298892,0.546605,0.976642,2,NAVIGATE
